country,country_name,unemp,cpi,ipi,cci,gdp_growth
DEU,Germany,5.225,102.40973678571429,98.42738095238094,-7.019047619047619,1.1379608730119048
FRA,France,8.761507936507936,101.61583333333333,102.40129619047619,-12.761507936507936,1.1970760663214286
GBR,United Kingdom,5.491269841269841,102.59484126984128,100.11860801587302,-12.531150793650792,1.4486658078571428
ITA,Italy,9.117460317460317,100.84880412698413,107.22883746031746,-16.05456349206349,0.3706325069404762
JPN,Japan,3.716666666666667,98.65671681818182,102.43268823232324,40.46010101010101,0.5512790465909091
KOR,South Korea,3.409126984126984,99.83227055555555,98.8182709920635,0.8757936507936508,3.111095050071429
MEX,Mexico,4.089725658227848,102.15104666666667,97.12661797468354,39.96316033755274,1.6968822998481012
POL,Poland,7.197619047619048,106.3152288095238,105.6681946031746,-5.982142857142857,3.750491972654762
TUR,Turkiye,10.346825396825396,226.7937792063492,99.83715515873016,86.50868988095237,5.162111872809524
USA,United States,5.744246031746032,103.83428436507936,98.34847765873016,85.05206928571428,2.113103214547619
